metric,value
counts_by_cpc.A01C7/127,155
counts_by_cpc.A01C7/128,14
counts_by_cpc.A01C7/14,17
counts_by_cpc.A01C7/16,211
counts_by_cpc.A01C7/163,34
counts_by_cpc.A01C7/166,21
counts_by_cpc.A01C7/18,66
counts_by_cpc.A01C7/20,620
counts_by_cpc.A01C7/201,40
counts_by_cpc.A01C7/203,38
counts_by_cpc.A01C7/205,31
counts_by_cpc.A01C7/206,148
counts_by_cpc.A01C7/208,48
counts_by_cpc.A01C9/00,15
counts_by_cpc.A01C9/02,33
counts_by_cpc.A01C9/04,2
counts_by_cpc.A01C9/06,4
counts_by_cpc.A01C9/08,9
counts_by_cpc.A01D1/00,4
counts_by_cpc.A01D1/04,7
counts_by_cpc.A01D1/06,2
counts_by_cpc.A01D1/14,8
counts_by_cpc.A01D11/00,29
counts_by_cpc.A01D11/02,1
counts_by_cpc.A01D11/06,4
counts_by_cpc.A01D13/00,22
counts_by_cpc.A01D15/00,1
counts_by_cpc.A01D15/04,4
counts_by_cpc.A01D17/00,39
counts_by_cpc.A01D17/02,19
counts_by_cpc.A01D17/04,10
counts_by_cpc.A01D17/06,57
counts_by_cpc.A01D17/08,13
counts_by_cpc.A01D17/10,465
counts_by_cpc.A01D17/101,27
counts_by_cpc.A01D17/12,6
counts_by_cpc.A01D17/14,4
counts_by_cpc.A01D17/16,5
counts_by_cpc.A01D17/22,8
counts_by_cpc.A01D19/00,4
counts_by_cpc.A01D19/02,1
counts_by_cpc.A01D19/12,1
counts_by_cpc.A01D19/16,5
counts_by_cpc.A01D2017/103,442
counts_by_cpc.A01D2017/105,29
counts_by_cpc.A01D2017/106,94
counts_by_cpc.A01D2017/108,25
counts_by_cpc.A01D2023/022,1
counts_by_cpc.A01D2023/024,1
counts_by_cpc.A01D2023/028,4
counts_by_cpc.A01D2033/005,26
counts_by_cpc.A01D2034/645,10
counts_by_cpc.A01D2034/6837,22
counts_by_cpc.A01D2034/6843,2
counts_by_cpc.A01D2034/907,6
counts_by_cpc.A01D2046/262,32
counts_by_cpc.A01D2046/266,19
counts_by_cpc.A01D2046/268,4
counts_by_cpc.A01D2085/007,9
counts_by_cpc.A01D2087/123,7
counts_by_cpc.A01D2087/128,174
counts_by_cpc.A01D2090/005,32
counts_by_cpc.A01D2090/086,1
counts_by_cpc.A01D21/00,2
counts_by_cpc.A01D2101/00,837
counts_by_cpc.A01D23/02,9
counts_by_cpc.A01D23/04,12
counts_by_cpc.A01D23/06,2
counts_by_cpc.A01D25/00,19
counts_by_cpc.A01D25/005,4
counts_by_cpc.A01D25/02,12
counts_by_cpc.A01D25/04,17
counts_by_cpc.A01D25/042,10
counts_by_cpc.A01D25/046,8
counts_by_cpc.A01D25/048,14
counts_by_cpc.A01D27/00,5
counts_by_cpc.A01D27/02,13
counts_by_cpc.A01D27/04,8
counts_by_cpc.A01D29/00,21
counts_by_cpc.A01D3/04,1
counts_by_cpc.A01D31/00,13
counts_by_cpc.A01D31/02,1
counts_by_cpc.A01D33/00,90
counts_by_cpc.A01D33/02,12
counts_by_cpc.A01D33/04,28
counts_by_cpc.A01D33/06,9
counts_by_cpc.A01D33/08,148
counts_by_cpc.A01D33/10,156
counts_by_cpc.A01D33/105,8
counts_by_cpc.A01D33/12,5
counts_by_cpc.A01D33/14,4
counts_by_cpc.A01D34/00,242
counts_by_cpc.A01D34/001,107
counts_by_cpc.A01D34/003,19
counts_by_cpc.A01D34/005,3
counts_by_cpc.A01D34/006,108
counts_by_cpc.A01D34/008,1458
counts_by_cpc.A01D34/01,9
counts_by_cpc.A01D34/015,15
counts_by_cpc.A01D34/02,8
counts_by_cpc.A01D34/03,3
counts_by_cpc.A01D34/032,2
counts_by_cpc.A01D34/04,35
counts_by_cpc.A01D34/046,2
counts_by_cpc.A01D34/08,1
counts_by_cpc.A01D34/10,1
counts_by_cpc.A01D34/13,15
counts_by_cpc.A01D34/135,1
counts_by_cpc.A01D34/14,42
counts_by_cpc.A01D34/18,3
counts_by_cpc.A01D34/24,4
counts_by_cpc.A01D34/28,2
counts_by_cpc.A01D34/283,3
counts_by_cpc.A01D34/30,5
counts_by_cpc.A01D34/305,2
counts_by_cpc.A01D34/33,1
counts_by_cpc.A01D34/34,1
counts_by_cpc.A01D34/37,1
counts_by_cpc.A01D34/40,5
counts_by_cpc.A01D34/404,2
counts_by_cpc.A01D34/408,1
counts_by_cpc.A01D34/412,70
counts_by_cpc.A01D34/416,54
counts_by_cpc.A01D34/4162,1
counts_by_cpc.A01D34/4163,1
counts_by_cpc.A01D34/4165,3
counts_by_cpc.A01D34/4166,2
counts_by_cpc.A01D34/4167,2
counts_by_cpc.A01D34/4168,1
counts_by_cpc.A01D34/42,8
counts_by_cpc.A01D34/43,4
counts_by_cpc.A01D34/435,1
counts_by_cpc.A01D34/44,9
counts_by_cpc.A01D34/46,1
counts_by_cpc.A01D34/47,2
counts_by_cpc.A01D34/475,11
counts_by_cpc.A01D34/49,3
counts_by_cpc.A01D34/52,7
counts_by_cpc.A01D34/53,15
counts_by_cpc.A01D34/535,5
counts_by_cpc.A01D34/54,6
counts_by_cpc.A01D34/56,4
counts_by_cpc.A01D34/58,33
counts_by_cpc.A01D34/60,3
counts_by_cpc.A01D34/62,12
counts_by_cpc.A01D34/63,57
counts_by_cpc.A01D34/64,134
counts_by_cpc.A01D34/66,55
counts_by_cpc.A01D34/661,19
counts_by_cpc.A01D34/662,9
counts_by_cpc.A01D34/664,15
counts_by_cpc.A01D34/667,2
counts_by_cpc.A01D34/668,2
counts_by_cpc.A01D34/67,9
counts_by_cpc.A01D34/68,23
counts_by_cpc.A01D34/6806,32
counts_by_cpc.A01D34/6812,26
counts_by_cpc.A01D34/6818,12
counts_by_cpc.A01D34/685,13
counts_by_cpc.A01D34/69,24
counts_by_cpc.A01D34/71,14
counts_by_cpc.A01D34/73,62
counts_by_cpc.A01D34/733,73
counts_by_cpc.A01D34/736,47
counts_by_cpc.A01D34/74,107
counts_by_cpc.A01D34/76,9
counts_by_cpc.A01D34/77,5
counts_by_cpc.A01D34/78,108
counts_by_cpc.A01D34/80,1
counts_by_cpc.A01D34/81,147
counts_by_cpc.A01D34/82,97
counts_by_cpc.A01D34/822,6
counts_by_cpc.A01D34/824,48
counts_by_cpc.A01D34/826,3
counts_by_cpc.A01D34/828,71
counts_by_cpc.A01D34/83,1
counts_by_cpc.A01D34/831,9
counts_by_cpc.A01D34/833,1
counts_by_cpc.A01D34/835,50
counts_by_cpc.A01D34/8355,10
counts_by_cpc.A01D34/84,71
counts_by_cpc.A01D34/86,101
counts_by_cpc.A01D34/863,13
counts_by_cpc.A01D34/866,16
counts_by_cpc.A01D34/90,58
counts_by_cpc.A01D34/902,59
counts_by_cpc.A01D37/00,4
counts_by_cpc.A01D39/00,3
counts_by_cpc.A01D39/005,1
counts_by_cpc.A01D41/00,27
